Wynagrodzenie;Kariera;Spelnienie_zawodowe;Wakacje;Rodzina;Wychowanie_dzieci;kredyt
105,126;101,659;115,06;100,281;101,667;85,553;0
77,049;72,933;77,485;93,854;95,392;88,609;1
86,017;82,206;78,889;86,773;108,07;93,348;1
91,425;106,107;95,64;100,248;86,08;93,822;0
113,714;92,029;99,079;104,013;83,271;69,621;0
86,606;87,817;67,663;99,822;97,275;108,622;1
95,067;94,505;98,081;93,694;99,181;96,398;1
113,5;104,607;105,572;87,427;96,664;86,577;0
104,549;97,299;94,074;97,785;99,585;99,761;1
104,635;97,908;85,823;104,688;95,076;99,695;1
102,064;87,01;94,687;78,995;86,43;78,822;0
109,428;94,937;104,396;122,931;114,816;102,109;1
89,994;77,392;100,771;107,66;116,858;114,73;1
89,983;91,259;89,216;94,902;96,723;94,411;1
96,946;103,043;97,493;92,778;110,072;95,162;1
93,21;93,843;87,345;114,286;111,617;111,455;1
70,905;65,903;74,231;79,806;94,799;88,352;1
114,854;98,083;105,634;98,951;87,921;88,913;0
100,315;92,518;87,609;108,401;103,565;82,486;1
111,355;104,373;101,852;99,954;96,688;89,369;0
108,798;97,876;91,457;104,375;95,028;85,508;0
74,723;105,615;102,246;86,003;94,308;106,233;1
93,878;90,58;95,486;107,834;97,738;105,225;1
77,936;94,987;98,586;96,458;95,406;95,111;1
77,515;100,672;102,301;109,101;116,68;105,655;1
99,123;110,273;120,531;109,747;108,69;119,019;1
92,469;94,971;94,383;105,823;102,772;116,442;1
92,767;107,075;94,019;111,862;112,545;119,948;1
76,859;83,319;67,787;80,83;76,364;81,024;1
87,305;85,485;82,823;98,095;108,588;123,27;1
90,115;98,804;93,923;113,116;100,333;108,156;1
107,975;105,773;114,251;121,607;132,884;128,478;1
118,087;96,854;93,445;95,036;104,447;106,562;0
79,567;91,437;92,243;117,613;112,114;108,547;1
94,406;97,257;95,566;85,128;101,343;93,761;0
121,235;114,295;113,353;112,353;110,939;123,047;0
102,719;111,096;121,558;84,165;76,385;80,054;0
91,074;105,772;101,445;116,93;112,745;106,48;1
94,635;81,728;96,747;99,814;111,435;110,644;1
114,468;115,632;115,656;106,55;113,191;111,581;0
76,794;83,167;95,768;85,357;101,615;100,099;1
69,571;99,519;107,377;109,876;105,846;105,623;1
70,793;84,381;88,212;114,369;119,375;105,056;1
109,549;94,929;96,312;95,439;96,343;95,847;0
86,769;87,334;93,175;108,822;102,658;95,361;1
104,991;103,899;101,991;106,988;108,596;90,359;0
77,763;87,279;97,76;98,925;87,409;94,104;1
92,245;96,78;95,167;93,971;103,559;104,661;1
81,799;85,978;88,06;97,983;107,111;112,569;1
114,698;108,365;111,089;90,261;97,357;94,038;0
102,791;102,019;109,052;98,762;99,795;100,411;0
89,384;102,803;96,606;97,019;112,445;93,958;1
125,775;109,85;106,547;133,979;115,394;137,479;1
76,153;105,531;80,2;83,296;82,743;86,43;0
134,919;117,948;119,932;94,829;97,927;98,656;0
135,747;131,611;129,223;116,732;127,477;122,774;0
103,724;106,394;107,796;100,653;97,301;108,4;0
109,182;100,09;108,382;92,799;91,324;84,002;0
121,686;118,614;122,428;91,829;95,276;104,818;0
102,94;110,606;113,916;84,121;86,135;97,922;0
86,116;91,007;92,104;102,552;92,357;95,08;1
75,04;82,263;84,462;83,451;96,98;101,714;1
97,524;84,22;86,315;92,436;100,885;99,687;1
100,235;93,874;103,685;98,874;101,638;100,046;1
106,609;100,957;89,524;84,597;92,44;99,352;0
78,039;88,49;81,61;101,226;100,768;96,65;1
121,884;113,573;119,685;84,779;99,982;105,451;0
105,97;99,708;118,532;99,065;108,06;111,608;0
84,323;95,958;89,302;121,791;113,097;122,862;1
94,733;85,154;104,495;117,407;110,699;135,665;1
116,479;109,433;98,444;98,521;97,821;91,976;0
89,044;95,972;100,014;102,879;96,209;109,839;1
114,542;107,961;115,354;119,339;114,201;103,73;0
80,536;88,527;84,755;97,084;83,438;97,826;1
95,196;93,744;103,599;102,662;115,057;105,065;1
100,77;99,3;109,253;115,164;107,8;107,265;1
97,773;95,374;93,219;102,028;106,759;111,069;1
100,583;93,536;103,018;97,024;91,823;92,696;0
94,75;93,458;105,871;99,795;94,366;94,865;0
60,876;77,232;85,265;96,806;97,321;90,005;1
94,04;98,498;96,177;82,089;91,748;94,187;0
92,624;105,252;108,007;83,549;101,465;105,236;0
104,014;99,026;106,893;110,369;96,971;95,514;0
81,969;98,559;90,095;73,759;85,85;96,647;0
83,15;89,818;89,158;79,535;96,673;83,721;0
105,213;105,875;107,158;94,385;94,255;100,853;0
95,847;94,184;98,73;110,967;115,824;120,513;1
83,567;120,805;107,751;108,981;116,459;119,517;1
90,598;103,572;93,006;90,873;97,013;96,414;0
115,872;102,889;113,813;93,393;111,29;99,668;0
129,715;113,592;118,339;96,542;102,365;114,409;0
80,345;84,646;77,008;86,973;81,359;77,068;1
92,685;99,483;83,756;98,658;119,794;107,802;1
103,188;96,171;83,33;108,603;94,22;95,068;1
89,763;99,258;101,209;86,05;79,981;79,894;0
94,618;117,866;103,155;118,594;117,448;109,056;1
84,764;97,653;91,38;116,611;116,933;115,453;1
138,876;117,427;112,185;99,538;114,693;114,626;0
95,37;89,835;107,429;92,319;109,707;110,57;1
106,05;120,708;119,815;75,864;93,168;93,385;0
